iter	Passed	Remaining
1163	65933	217287
1164	65988	217224
1165	66044	217164
1166	66113	217148
1167	66185	217143
1168	66244	217094
1169	66310	217066
1170	66369	217017
1171	66427	216966
1172	66498	216955
1173	66555	216900
1174	66614	216850
1175	66672	216798
1176	66731	216748
1177	66790	216700
1178	66847	216645
1179	66903	216586
1180	66960	216529
1181	67018	216477
1182	67077	216428
1183	67133	216368
1184	67188	216306
1185	67244	216248
1186	67299	216185
1187	67354	216123
1188	67413	216073
1189	67471	216021
1190	67530	215971
1191	67588	215920
1192	67646	215866
1193	67702	215810
1194	67759	215753
1195	67819	215706
1196	67874	215644
1197	67930	215585
1198	67985	215524
1199	68041	215466
1200	68101	215419
1201	68173	215408
1202	68232	215361
1203	68293	215318
1204	68359	215290
1205	68436	215297
1206	68530	215357
1207	68595	215325
1208	68668	215319
1209	68744	215323
1210	68822	215334
1211	68890	215311
1212	68949	215260
1213	69008	215210
1214	69066	215156
1215	69128	215118
1216	69185	215061
1217	69245	215013
1218	69303	214958
1219	69359	214900
1220	69517	215157
1221	69582	215124
1222	69640	215071
1223	69698	215016
1224	69756	214962
1225	69812	214904
1226	69873	214860
1227	69931	214804
1228	69986	214741
1229	70045	214692
1230	70101	214631
1231	70157	214572
1232	70215	214518
1233	70276	214473
1234	70334	214419
1235	70394	214373
1236	70456	214332
1237	70550	214386
1238	70662	214497
1239	70728	214466
1240	70790	214423
1241	70846	214364
1242	70905	214314
1243	70963	214260
1244	71025	214217
1245	71080	214155
1246	71143	214116
1247	71210	214089
1248	71291	214103
1249	71357	214071
1250	71429	214061
1251	71490	214014
1252	71547	213957
1253	71603	213897
1254	71659	213836
1255	71718	213783
1256	71778	213736
1257	71835	213677
1258	71893	213626
1259	71952	213573
1260	72010	213519
1261	72071	213474
1262	72129	213418
1263	72187	213363
1264	72244	213307
1265	72304	213257
1266	72359	213196
1267	72418	213143
1268	72472	213076
1269	72529	213019
1270	72587	212964
1271	72643	212904
1272	72701	212850
1273	72761	212801
1274	72822	212754
1275	72934	212860
1276	73085	213076
1277	73185	213142
1278	73248	213100
1279	73323	213096
1280	73381	213042
1281	73438	212984
1282	73499	212937
1283	73558	212885
1284	73616	212828
1285	73673	212770
1286	73732	212719
1287	73790	212663
1288	73849	212610
1289	73904	212547
1290	73965	212498
1291	74025	212449
1292	74082	212391
1293	74142	212342
1294	74202	212292
1295	74275	212280
1296	74330	212217
1297	74388	212161
1298	74446	212105
1299	74503	212049
1300	74561	211993
1301	74637	211988
1302	74694	211929
1303	74750	211870
1304	74809	211817
1305	74864	211754
1306	74922	211696
1307	74979	211639
1308	75036	211581
1309	75095	211529
1310	75152	211470
1311	75214	211426
1312	75272	211372
1313	75333	211324
1314	75393	211272
1315	75449	211211
1316	75505	211150
1317	75565	211102
1318	75619	211034
1319	75674	210971
1320	75734	210920
1321	75794	210870
1322	75942	211066
1323	76006	211026
1324	76065	210973
1325	76124	210919
1326	76181	210862
1327	76237	210801
1328	76296	210748
1329	76353	210688
1330	76410	210631
1331	76468	210576
1332	76525	210516
1333	76583	210461
1334	76639	210400
1335	76697	210343
1336	76754	210285
1337	76813	210231
1338	76870	210173
1339	76926	210112
1340	76987	210065
1341	77045	210009
1342	77102	209950
1343	77159	209891
1344	77220	209843
1345	77279	209791
1346	77336	209733
1347	77399	209689
1348	77460	209642
1349	77520	209592
1350	77579	209538
1351	77634	209474
1352	77692	209418
1353	77746	209352
1354	77803	209295
1355	77864	209246
1356	77922	209191
1357	77983	209142
1358	78038	209079
1359	78098	209028
1360	78157	208974
1361	78213	208913
1362	78270	208855
1363	78327	208796
1364	78386	208744
1365	78441	208680
1366	78494	208611
1367	78554	208561
1368	78612	208502
1369	78671	208451
1370	78728	208391
1371	78783	208327
1372	78839	208265
1373	78896	208207
1374	78956	208157
1375	79013	208099
1376	79075	208052
1377	79131	207993
1378	79187	207932
1379	79244	207873
1380	79303	207819
1381	79361	207764
1382	79418	207706
1383	79478	207654
1384	79535	207595
1385	79592	207537
1386	79653	207490
1387	79711	207433
1388	79767	207372
1389	79822	207309
1390	79879	207250
1391	79939	207199
1392	80000	207152
1393	80058	207095
1394	80115	207037
1395	80171	206974
1396	80227	206914
1397	80283	206852
1398	80340	206795
1399	80398	206739
1400	80455	206679
1401	80510	206618
1402	80569	206563
1403	80623	206497
1404	80677	206432
1405	80733	206369
1406	80789	206309
1407	80845	206248
1408	80900	206184
1409	80959	206129
1410	81017	206076
1411	81076	206022
1412	81128	205950
1413	81189	205903
1414	81252	205860
1415	81314	205812
1416	81371	205755
1417	81426	205691
1418	81487	205642
1419	81544	205583
1420	81599	205519
1421	81757	205715
1422	81826	205687
1423	81886	205637
1424	81945	205583
1425	82002	205522
1426	82054	205453
1427	82112	205395
1428	82165	205328
1429	82221	205265
1430	82275	205201
1431	82336	205150
1432	82398	205104
1433	82456	205049
1434	82517	204999
1435	82568	204926
1436	82620	204856
1437	82676	204792
1438	82731	204731
1439	82786	204667
1440	82840	204600
1441	82897	204541
1442	82953	204480
1443	83011	204424
1444	83070	204371
1445	83127	204312
1446	83180	204242
1447	83235	204179
1448	83293	204124
1449	83350	204065
1450	83413	204021
1451	83471	203963
1452	83528	203907
1453	83586	203849
1454	83644	203794
1455	83705	203745
1456	83764	203691
1457	83819	203626
1458	83871	203556
1459	83927	203496
1460	83990	203450
1461	84043	203382
1462	84097	203316
1463	84156	203262
1464	84209	203194
1465	84262	203127
1466	84317	203062
1467	84379	203016
1468	84430	202944
1469	84488	202886
1470	84541	202820
1471	84597	202758
1472	84655	202701
1473	84707	202630
1474	84765	202576
1475	84819	202510
1476	84879	202457
1477	84932	202389
1478	84987	202326
1479	85049	202280
1480	85104	202217
1481	85163	202162
1482	85221	202105
1483	85279	202050
1484	85333	201984
1485	85385	201913
1486	85437	201843
1487	85496	201790
1488	85550	201724
1489	85602	201654
1490	85658	201592
1491	85719	201544
1492	85778	201489
1493	85861	201494
1494	85913	201423
1495	85983	201394
1496	86041	201337
1497	86092	201266
1498	86153	201216
1499	86215	201170
1500	86269	201102
1501	86323	201037
1502	86376	200970
1503	86439	200925
1504	86494	200862
1505	86552	200807
1506	86611	200752
1507	86668	200693
1508	86717	200617
1509	86776	200562
1510	86834	200506
1511	86895	200457
1512	86950	200393
1513	87004	200329
1514	87058	200264
1515	87119	200213
1516	87170	200142
1517	87232	200094
1518	87291	200041
1519	87345	199974
1520	87399	199909
1521	87455	199849
1522	87509	199783
1523	87572	199737
1524	87716	199879
1525	87777	199829
1526	87832	199766
1527	87887	199701
1528	87948	199653
1529	88006	199595
1530	88058	199527
1531	88121	199480
1532	88175	199416
1533	88229	199350
1534	88287	199294
1535	88346	199239
1536	88404	199183
1537	88461	199125
1538	88517	199064
1539	88572	198999
1540	88636	198957
1541	88694	198900
1542	88746	198831
1543	88800	198764
1544	88858	198709
1545	88915	198650
1546	88972	198591
1547	89023	198519
1548	89082	198465
1549	89138	198405
1550	89194	198343
1551	89249	198282
1552	89302	198212
1553	89360	198158
1554	89420	198105
1555	89479	198051
1556	89533	197986
1557	89592	197932
1558	89646	197866
1559	89704	197809
1560	89761	197750
1561	89818	197691
1562	89877	197637
1563	89940	197592
1564	89993	197526
1565	90047	197460
1566	90105	197404
1567	90162	197345
1568	90216	197279
1569	90272	197219
1570	90328	197157
1571	90382	197093
1572	90440	197038
1573	90494	196971
1574	90553	196918
1575	90610	196860
1576	90664	196794
1577	90722	196738
1578	90783	196687
1579	90841	196631
1580	90905	196588
1581	90964	196534
1582	91025	196483
1583	91075	196410
1584	91131	196349
1585	91191	196296
1586	91250	196243
1587	91311	196193
1588	91362	196121
1589	91419	196063
1590	91471	195993
1591	91530	195939
1592	91586	195879
1593	91643	195819
1594	91702	195766
1595	91762	195714
1596	91815	195645
1597	91871	195586
1598	91927	195525
1599	91983	195465
1600	92039	195404
1601	92096	195346
1602	92159	195299
1603	92218	195245
1604	92276	195188
1605	92341	195147
1606	92403	195099
1607	92462	195046
1608	92521	194991
1609	92574	194924
1610	92630	194862
1611	92690	194810
1612	92747	194751
1613	92806	194698
1614	92861	194634
1615	92914	194569
1616	92976	194520
1617	93037	194469
1618	93094	194411
1619	93156	194362
1620	93206	194289
1621	93264	194233
1622	93325	194183
1623	93482	194332
1624	93541	194279
1625	93597	194218
1626	93650	194151
1627	93709	194095
1628	93768	194042
1629	93828	193988
1630	93882	193924
1631	93942	193872
1632	93996	193805
1633	94050	193741
1634	94108	193684
1635	94167	193629
1636	94225	193574
1637	94284	193518
1638	94344	193466
1639	94404	193413
1640	94460	193353
1641	94514	193287
1642	94564	193215
1643	94617	193148
1644	94677	193095
1645	94737	193042
1646	94789	192974
1647	94849	192922
1648	94902	192854
1649	94959	192795
1650	95018	192741
1651	95080	192693
1652	95140	192639
1653	95197	192581
1654	95249	192513
1655	95310	192461
1656	95368	192405
1657	95428	192352
1658	95487	192298
1659	95546	192243
1660	95605	192188
